Time T dT flags
1.3425230634E+11 2.8419400E+02 -2.9348000E+01 0.0000000E+00
1.3425274104E+11 2.8411400E+02 -2.9347000E+01 0.0000000E+00
1.3425317573E+11 2.8408100E+02 -2.9347000E+01 0.0000000E+00
1.3425361043E+11 2.8406700E+02 -2.9342000E+01 0.0000000E+00
1.3425404512E+11 2.8402100E+02 -2.9331000E+01 0.0000000E+00
1.3425447982E+11 2.8394100E+02 -2.9325000E+01 0.0000000E+00
1.3425491451E+11 2.8386200E+02 -2.9314000E+01 0.0000000E+00
1.3425534921E+11 2.8381500E+02 -2.9313000E+01 0.0000000E+00
1.3425578390E+11 2.8381500E+02 -2.9303000E+01 0.0000000E+00
1.3425621860E+11 2.8376800E+02 -2.9297000E+01 0.0000000E+00
1.3425665329E+11 2.8372200E+02 -2.9297000E+01 0.0000000E+00
1.3425708799E+11 2.8367500E+02 -2.9286000E+01 0.0000000E+00
1.3425752268E+11 2.8362900E+02 -2.9291000E+01 0.0000000E+00
1.3425795738E+11 2.8354900E+02 -2.9274000E+01 0.0000000E+00
1.3425839207E+11 2.8354900E+02 -2.9290000E+01 0.0000000E+00
1.3425882677E+11 2.8347000E+02 -2.9284000E+01 0.0000000E+00
1.3425926146E+11 2.8339100E+02 -2.9278000E+01 0.0000000E+00
1.3425969616E+11 2.8334400E+02 -2.9267000E+01 0.0000000E+00
1.3426013085E+11 2.8329800E+02 -2.9272000E+01 0.0000000E+00
1.3426056555E+11 2.8325100E+02 -2.9261000E+01 0.0000000E+00
1.3426100025E+11 2.8321900E+02 -2.9256000E+01 0.0000000E+00
1.3426143494E+11 2.8317200E+02 -2.9245000E+01 0.0000000E+00
1.3426186964E+11 2.8314000E+02 -2.9244000E+01 0.0000000E+00
1.3426230433E+11 2.8312600E+02 -2.9234000E+01 0.0000000E+00
1.3426273903E+11 2.8307900E+02 -2.9228000E+01 0.0000000E+00
1.3426317372E+11 2.8295400E+02 -2.9222000E+01 0.0000000E+00
1.3426360842E+11 2.8287500E+02 -2.9211000E+01 0.0000000E+00
1.3426404312E+11 2.8287500E+02 -2.9216000E+01 0.0000000E+00
1.3426447781E+11 2.8282900E+02 -2.9210000E+01 0.0000000E+00
1.3426491250E+11 2.8276900E+02 -2.9205000E+01 0.0000000E+00
1.3426534720E+11 2.8273600E+02 -2.9194000E+01 0.0000000E+00
1.3426578190E+11 2.8261100E+02 -2.9182000E+01 0.0000000E+00
1.3426621659E+11 2.8256500E+02 -2.9177000E+01 0.0000000E+00
1.3426665129E+11 2.8248600E+02 -2.9171000E+01 0.0000000E+00
1.3426708598E+11 2.8248600E+02 -2.9166000E+01 0.0000000E+00
1.3426752068E+11 2.8239300E+02 -2.9160000E+01 0.0000000E+00
1.3426795538E+11 2.8234700E+02 -2.9154000E+01 0.0000000E+00
1.3426839007E+11 2.8226900E+02 -2.9153000E+01 0.0000000E+00
1.3426882477E+11 2.8225500E+02 -2.9153000E+01 0.0000000E+00
1.3426925946E+11 2.8214400E+02 -2.9152000E+01 0.0000000E+00
1.3426969416E+11 2.8209800E+02 -2.9147000E+01 0.0000000E+00
1.3427012885E+11 2.8209800E+02 -2.9147000E+01 0.0000000E+00
1.3427056355E+11 2.8200600E+02 -2.9140000E+01 0.0000000E+00
1.3427099824E+11 2.8197300E+02 -2.9130000E+01 0.0000000E+00
1.3427143294E+11 2.8189400E+02 -2.9129000E+01 0.0000000E+00
1.3427186763E+11 2.8184800E+02 -2.9118000E+01 0.0000000E+00
1.3427230233E+11 2.8175700E+02 -2.9112000E+01 0.0000000E+00
1.3427273702E+11 2.8175700E+02 -2.9107000E+01 0.0000000E+00
1.3427317172E+11 2.8163200E+02 -2.9101000E+01 0.0000000E+00
1.3427360641E+11 2.8163200E+02 -2.9091000E+01 0.0000000E+00
1.3427404111E+11 2.8150800E+02 -2.9095000E+01 0.0000000E+00
1.3427447580E+11 2.8150800E+02 -2.9084000E+01 0.0000000E+00
1.3427491050E+11 2.8141600E+02 -2.9078000E+01 0.0000000E+00
1.3427534519E+11 2.8138400E+02 -2.9073000E+01 0.0000000E+00
